2026-01-19 11:01:58,930 | INFO | app.logger.api_logger | FINISHED: fetch_self_pay_patients in 0.01s
2026-01-19 11:01:58,930 | INFO | app.logger.api_logger | FINISHED: get_self_pay_report in 0.01s
2026-01-19 11:01:58,930 | INFO | app.logger.api_logger | FINISHED: get_self_pay_patients in 0.01s
2026-01-19 11:03:11,795 | INFO | app.logger.api_logger | STARTED: get_self_pay_patients
2026-01-19 11:03:11,795 | INFO | app.logger.api_logger | STARTED: get_self_pay_report
2026-01-19 11:03:11,795 | INFO | app.logger.api_logger | STARTED: fetch_self_pay_patients
2026-01-19 11:03:11,799 | INFO | app.logger.api_logger | FINISHED: fetch_self_pay_patients in 0.00s
2026-01-19 11:03:11,799 | INFO | app.logger.api_logger | FINISHED: get_self_pay_report in 0.00s
2026-01-19 11:03:11,799 | INFO | app.logger.api_logger | FINISHED: get_self_pay_patients in 0.00s
2026-01-19 11:04:29,095 | INFO | app.logger.api_logger | STARTED: get_self_pay_patients
2026-01-19 11:04:29,095 | INFO | app.logger.api_logger | STARTED: get_self_pay_report
2026-01-19 11:04:29,095 | INFO | app.logger.api_logger | STARTED: fetch_self_pay_patients
2026-01-19 11:04:29,100 | INFO | app.logger.api_logger | FINISHED: fetch_self_pay_patients in 0.00s
2026-01-19 11:04:29,100 | INFO | app.logger.api_logger | FINISHED: get_self_pay_report in 0.00s
2026-01-19 11:04:29,100 | INFO | app.logger.api_logger | FINISHED: get_self_pay_patients in 0.01s
2026-01-19 11:04:40,631 | INFO | app.logger.api_logger | STARTED: get_self_pay_patients
2026-01-19 11:04:40,631 | INFO | app.logger.api_logger | STARTED: get_self_pay_report
2026-01-19 11:04:40,631 | INFO | app.logger.api_logger | STARTED: fetch_self_pay_patients
2026-01-19 11:04:40,634 | INFO | app.logger.api_logger | FINISHED: fetch_self_pay_patients in 0.00s
2026-01-19 11:04:40,635 | INFO | app.logger.api_logger | FINISHED: get_self_pay_report in 0.00s
2026-01-19 11:04:40,635 | INFO | app.logger.api_logger | FINISHED: get_self_pay_patients in 0.00s
2026-01-19 11:05:13,817 | INFO | app.logger.api_logger | STARTED: get_self_pay_patients
2026-01-19 11:05:13,817 | INFO | app.logger.api_logger | STARTED: get_self_pay_report
2026-01-19 11:05:13,817 | INFO | app.logger.api_logger | STARTED: fetch_self_pay_patients
2026-01-19 11:05:13,819 | INFO | app.logger.api_logger | FINISHED: fetch_self_pay_patients in 0.00s
2026-01-19 11:05:13,819 | INFO | app.logger.api_logger | FINISHED: get_self_pay_report in 0.00s
2026-01-19 11:05:13,819 | INFO | app.logger.api_logger | FINISHED: get_self_pay_patients in 0.00s
2026-01-19 11:05:28,144 | INFO | app.logger.api_logger | STARTED: get_self_pay_patients
2026-01-19 11:05:28,144 | INFO | app.logger.api_logger | STARTED: get_self_pay_report
2026-01-19 11:05:28,144 | INFO | app.logger.api_logger | STARTED: fetch_self_pay_patients
2026-01-19 11:05:28,148 | INFO | app.logger.api_logger | FINISHED: fetch_self_pay_patients in 0.00s
2026-01-19 11:05:28,148 | INFO | app.logger.api_logger | FINISHED: get_self_pay_report in 0.00s
2026-01-19 11:05:28,148 | INFO | app.logger.api_logger | FINISHED: get_self_pay_patients in 0.00s
2026-01-19 11:05:50,686 | INFO | app.logger.api_logger | STARTED: get_self_pay_patients
2026-01-19 11:05:50,686 | INFO | app.logger.api_logger | STARTED: get_self_pay_report
2026-01-19 11:05:50,686 | INFO | app.logger.api_logger | STARTED: fetch_self_pay_patients
2026-01-19 11:05:50,689 | INFO | app.logger.api_logger | FINISHED: fetch_self_pay_patients in 0.00s
2026-01-19 11:05:50,689 | INFO | app.logger.api_logger | FINISHED: get_self_pay_report in 0.00s
2026-01-19 11:05:50,689 | INFO | app.logger.api_logger | FINISHED: get_self_pay_patients in 0.00s
2026-01-19 11:06:10,182 | INFO | app.main | APIs Shutting Down: Disposing Connection Pool
